Alert ID,SMARTS,ARTICLEID,PROPERTY,NAME,DESCRIPTION,PAGE,TABLE,LINE,COMMENT,SMARTS_DESCRIPTION,PUBMEDID,Publication
TA1105,[#6H3X4]-[#6X4H2]-[#6X4H2]*,A27542,Extended Functional Groups (EFG),Alkyl tails,Compounds containing only C and H atoms,-,-,-,,,26703557,"2015 Salmina, ES"
TA1106,"[+,++,+3,+4,+5,+6,+7,$([#7v4]),$([#8v3])] AND NOT [$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N),$([NX2-]-[NX2+]#[NX1]),$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-]),$([NX2+]#[CX1-]),$([NX2]#[CX1]),$([OX1-,OH1][#7X4+]([*])([*])([*])),$([OX1]=[#7X4v5]([*])([*])([*])),$([OX1-,OH1][#7X3+R](~[R])(~[R])),$([OX1]=[#7v5X3R](~[R])(~[R])),$([*+]~[*-])]",A12075,Extended Functional Groups (EFG),Cations,Any positively charged atom,-,-,-,,,-,2005 CheckMol
TA1107,"[-,--,-3,-4,-5,-6,-7] AND NOT [$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N),$([NX2-]-[NX2+]#[NX1]),$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-]),$([NX2+]#[CX1-]),$([NX2]#[CX1]),$([OX1-,OH1][#7X4+]([*])([*])([*])),$([OX1]=[#7X4v5]([*])([*])([*])),$([OX1-,OH1][#7X3+R](~[R])(~[R])),$([OX1]=[#7v5X3R](~[R])(~[R])),$([*-]~[*+])]",A12075,Extended Functional Groups (EFG),Anions,Any negatively charged atom,-,-,-,,,-,2005 CheckMol
TA1108,"[$([H][CX3]([#1,#6])=[OX1]),$([#6&!$(C#N)][CX3](=[OX1])[#6&!$(C#N)])]",A12075,Extended Functional Groups (EFG),Carbonyl compouns: aldehydes or ketones,"R1, R2 = H, alkyl, aryl ",-,-,-,,"R1, R2 = H, alkyl, aryl",-,2005 CheckMol
TA1109,"[H][CX3]([#1,#6])=[OX1]",A12075,Extended Functional Groups (EFG),Aldehydes,"R = H, alkyl, aryl",-,-,-,,R = H or any carbon atom,-,2005 CheckMol
TA1110,[#6&!$(C#N)][CX3](=[OX1])[#6&!$(C#N)],A12075,Extended Functional Groups (EFG),Ketones,"R1, R2 = alkyl, aryl",-,-,-,,"R1, R2 = any carbon atom",-,2005 CheckMol
TA1111,"[$([#1,#6][#6X3](=[SX1])[#1,#6]),$([#6]=[CX2]=[Sv2X1])]",A12075,Extended Functional Groups (EFG),Thiocarbonyl compounds: thioaldehydes or thioketones,"R1, R2 = H, alkyl, aryl",-,-,-,,"R1, R2 = H or any carbon atom",-,2005 CheckMol
TA1112,"[#1][CX3]([#1,#6])=[SX1]",A12075,Extended Functional Groups (EFG),Thioaldehydes,"R = H, alkyl, aryl",-,-,-,,R = H or any carbon atom,-,2005 CheckMol
TA1113,[#6&!$(C#N)][CX3](=[SX1])[#6&!$(C#N)],A12075,Extended Functional Groups (EFG),Thioketones,"R1, R2 = alkyl, aryl",-,-,-,,"R1, R2 = any carbon atom",-,2005 CheckMol
TA1114,"[#1,#6][CX3](=[NX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6]",A12075,Extended Functional Groups (EFG),Imines,"R1, R2, R3 = H, alkyl, aryl",-,-,-,,"R1, R2, R3 = H or any carbon atom",-,2005 CheckMol
TA1115,"[CX3]([#1,#6])([#1,#6])=[NX2][#7X3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]",A12075,Extended Functional Groups (EFG),Hydrazones,"R1, R2, R3, R4 = H, alkyl, aryl",-,-,-,,"R1, R2, R3, R4 = H or any carbon atom",-,2005 CheckMol
TA1116,"[#1,#6][CX3]([#1,#6])=[NX2][NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[CX3](=[OX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]",A12075,Extended Functional Groups (EFG),Semicarbazones,"R1, R2, R3, R4, R5 = H, alkyl, aryl",-,-,-,,"R1, R2, R3, R4, R5 = H or any carbon atom",-,2005 CheckMol
TA1117,"[#1,#6][CX3]([#1,#6])=[NX2][NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[CX3](=[SX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]",A12075,Extended Functional Groups (EFG),Thiosemicarbazones,"R1, R2, R3, R4, R5 = H, alkyl or aromatic carbon",-,-,-,,"R1, R2, R3, R4, R5 = H or any carbon atom",-,2005 CheckMol
TA1118,"[#1,#6][CX3]([#1,#6])=[NX2][OH1]",A12075,Extended Functional Groups (EFG),Oximes,"R1, R2 = H, alkyl, aryl ",-,-,-,,"R1, R2 = H or any carbon atom",-,2005 CheckMol
TA1119,"[#1,#6][CX3]([#1,#6])=[NX2][OX2][#6&!$([CX3]=[OX1,SX1,NX2])]",A12075,Extended Functional Groups (EFG),Oxime ethers,"R1, R2 = H, alkyl, aryl; R3 = alkyl, aryl",-,-,-,,"R1, R2 = H or any carbon atom; R3 =  any carbon atom",-,2005 CheckMol
TA1120,"[OX1]=[CX2]=[CX3]([#1,#6])[#1,#6]",A12075,Extended Functional Groups (EFG),Ketenes,"R1, R2 = H, alkyl, aryl ",-,-,-,,"R1, R2 = H or any carbon atom",-,2005 CheckMol
TA1121,"[#1,#6][CX3]([#1,#6])=[CX3]([!#6!#1])[!#6!#1]",A12075,Extended Functional Groups (EFG),Ketene acetal derivatives,"R1, R2 = H, alkyl, aryl; X, Y = any hetero atom",-,-,-,,"R1, R2 = H or any carbon atom; X, Y = any atom except H and C",-,2005 CheckMol
TA1122,"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OH1])[OH1]",A12075,Extended Functional Groups (EFG),Carbonyl hydrates,"R1, R2 = H, alkyl, aryl ",-,-,-,,"R1, R2 = H or any carbon atom",-,2005 CheckMol
TA1123,"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OH1])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]",A12075,Extended Functional Groups (EFG),Hemiacetals / Hemiketals,"R1, R2 = H, alkyl, aryl; R3 = alkyl, aryl",-,-,-,,"R1, R2 = H or any carbon atom; R3 = any carbon atom",-,2005 CheckMol
TA1124,"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OX2][#6&!$([CX3]=[OX1,SX1,NX2])])[OX2][#6&!$([CX3]=[OX1,SX1,NX2])]",A12075,Extended Functional Groups (EFG),Acetals / Ketals,"R1, R2 = H, alkyl, aryl; R3, R4 = alkyl, aryl",-,-,-,,"R1, R2 = H, any carbon atom; R3, R4 = any carbon atom",-,2005 CheckMol
TA1125,"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([OX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])])[NX3]([#1,*])[#1,*]",A12075,Extended Functional Groups (EFG),Hemiaminals,"R1, R2, R3, R4, R5 = H, alkyl, aryl",-,-,-,,"R1, R2, R3, R4, R5 = H, any carbon atom",-,2005 CheckMol
TA1126,"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([NX3]([#1,*])[#1,*])[NX3]([#1,*])[#1,*]",A12075,Extended Functional Groups (EFG),Aminals,"R1, R2, R3, R4, R5, R6 = H, alkyl, aryl",-,-,-,,"R1, R2, R3, R4, R5, R6 = H, any carbon atom",-,2005 CheckMol
TA1127,"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([SX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])&!$(C#N)])[NX3]([#1,*])[#1,*]",A12075,Extended Functional Groups (EFG),Thiohemiaminals,"R1, R2, R3, R4, R5 = H, alkyl, aryl",-,-,-,,"R1, R2, R3, R4, R5 = H, any carbon atom",-,2005 CheckMol
TA1128,"[CH2,$([CH1][#6]),$([CX4]([#6])[#6])]([SX2][#6&!$([CX3]=[OX1,SX1,NX2])&!$(C#N)])[SX2,OX2][#6&!$([CX3]=[OX1,SX1,NX2])&!$(C#N)]",A12075,Extended Functional Groups (EFG),Thioacetals / Thioketals,"R1, R2 = H, alkyl, aryl; R3, R4 = alkyl, aryl",-,-,-,,"R1, R2 = H, any carbon atom; R3, R4 = any carbon atom",-,2005 CheckMol
TA1129,"[CX3]([#1,#6])([#1,#6])=[CX3]([#1,#6])[NX3&!$([NX3](=[OX1])=[OX1])&!$([NX3+](=[OX1])[O-])]([#1,*])[#1,*]",A12075,Extended Functional Groups (EFG),Enamines,"R1, R2, R3, R4, R5 = H, acyl, alkyl, aryl",-,-,-,,"R1, R2, R3, R4, R5 = H, RC=O, any carbon atom, where R = H, any carbon",-,2005 CheckMol
TA1130,"[CX3]([#1,#6])([#1,#6])=[CX3]([OH1])[#1,#6]",A12075,Extended Functional Groups (EFG),Enols,"R1, R2, R3 = H, acyl, alkyl, aryl",-,-,-,,"R1, R2, R3 = H, RC=O, alkyl or aryl carbon, where R = H, any carbon",-,2005 CheckMol
TA1131,"[CX3]([#1,#6])([#1,#6])=[CX3]([OX2][#6&!$([CX3]([OX2])=[OX1,SX1,NX2,C])])[#1,#6]",A12075,Extended Functional Groups (EFG),Enolethers,"R1, R2, R3 = H, acyl, alkyl, aryl; R4 = alkyl, aryl",-,-,-,,"R1, R2, R3 = H, RC=O, alkyl or aryl carbon, where R = H, any carbon; R4 = any carbon atom",-,2005 CheckMol
TA1132,"[#6&!$([CX4]([OH1])[#8,#16,#7,#15])&!$([CX3]([OH1])=[OX1,SX1,NH2,C])][OH1]",A12075,Extended Functional Groups (EFG),Hydroxy compounds: alcohols or phenols,"R = alkyl, aryl",-,-,-,-,R = alkyl carbon or aromatic carbon,-,2005 CheckMol
